20220826	17:48:20	80c888c1-cf35-4fcb-acc0-1760aeb5eb0f	GET	undefined	/img/img1.jpg
20220826	17:48:20	9bfaddc6-45fd-4504-89ec-95ca9879c437	GET	undefined	/css/style.css
20220826	17:48:25	3993dfa5-a200-4331-a127-a5ee5a094ec2	GET	undefined	/employees/
20220826	17:49:37	b26ea7e2-2522-4f2f-9a50-7ead35ccc727	GET	undefined	/employees
20220826	17:50:25	d3a7c73e-8460-41e0-bb17-b897b4863deb	POST	undefined	/employees
20220826	17:50:59	7e684ea9-5741-4583-9ec0-097deccc212d	POST	undefined	/employees
20220826	17:51:10	b104f254-9a99-42d6-928d-6dcdd32ae178	GET	undefined	/employees/id:1
20220826	17:51:41	f0444ed1-46ac-41bb-9780-3a911f572a80	DELETE	undefined	/employees/?id=1
20220826	17:51:59	14a688df-b596-43da-9c34-aca0cae4b738	DELETE	undefined	/employees/?id=1
20220826	17:52:41	74c1bd73-8291-497e-9c1b-cb08f5316a27	GET	undefined	/employees/?id=1
20220826	17:52:46	5421191b-31cd-4d40-a54d-656b188ed667	GET	undefined	/employees/?id=1
20220826	17:53:35	12e2de64-d5e4-47bc-b821-5ff8598ca1f8	GET	undefined	/employees/?id=1
20220826	17:53:53	7b4367f9-6b8f-4b35-a3d1-b7f6f32c7fd7	POST	undefined	/employees
20220826	17:54:03	efc2a8db-2168-4b81-826f-512a0b06715f	GET	undefined	/employees/id:2
20220830	02:47:56	cf67d176-9aec-46f7-a94c-d2c3e4c02232	GET	undefined	/
20220830	02:47:58	32b8de09-c301-40e8-83c8-a473792614ef	GET	undefined	/img/img1.jpg
20220830	02:47:58	8e916258-083a-47fb-9bc9-a5c4880726d3	GET	undefined	/css/style.css
20220830	02:47:58	cf911355-77d6-4420-8266-2ba301247629	GET	undefined	/favicon.ico
20220830	02:48:43	788896b2-90e2-4c52-a60f-8672912ba92a	GET	undefined	/employees
20220830	02:49:03	54b041d3-7652-4168-a895-32e6a638008d	GET	undefined	/subdir
20220830	02:49:03	0723243a-af00-4a2d-be22-4a2aa1689153	GET	undefined	/subdir/
20220830	02:49:03	67f5031e-c697-467b-8bb8-f28d44b6bdd5	GET	undefined	/subdir/css/style.css
20220905	01:10:39	6f6fcffa-62d9-4470-ad1c-645ce363c898	POST	undefined	/register
20220905	01:11:31	650e5bbf-9c13-4efb-bc62-2d68790fa1e4	POST	undefined	/register
20220905	01:12:12	4797f974-4258-42c4-8df6-eb629dbe3898	POST	undefined	/register
20220905	01:12:17	52e2415e-9d8b-4788-8c53-35c8d92e6c83	POST	undefined	/register
20220905	01:32:55	b9b0bcf8-b90e-452f-b621-ed094eca2d34	POST	undefined	/register
20220905	01:33:22	6014fcfc-6a45-4c89-b14f-9324cbfa9a01	POST	undefined	/register
20220905	01:33:46	4f03a5f1-a0f4-4ad2-8f0f-ba6dc290b36f	POST	undefined	/register
20220905	01:36:37	15756f61-0a35-491f-ad11-d6dacd8eaff7	POST	undefined	/register
20220905	01:42:49	74822e57-6a9d-4c20-b687-bc26bd6eeddf	POST	undefined	/register
20220905	03:27:30	77436fc1-e769-4f64-a3d4-a3fe35bd45ed	POST	undefined	/auth
20220905	03:27:53	650ebc53-7335-4e33-9660-1df0b70ac1e4	POST	undefined	/auth
20220905	03:29:12	a6f4c296-4361-476a-b985-c60fdbd5d557	POST	undefined	/auth
20220905	03:32:10	34a10965-e2d7-4b43-8493-4f8a4af44857	POST	undefined	/auth
20220905	03:32:22	e53bbed7-0df0-4cfe-ad6b-4b36c781e4d2	POST	undefined	/auth
20220905	03:34:49	a8ef6192-89cc-4628-868e-9960b119b211	POST	undefined	/register
20220905	03:35:05	1efdf77b-8876-40f7-a43f-8044f28997c7	POST	undefined	/auth
20220905	21:35:39	9d444bc5-7517-4543-a7f4-8f7a7d55673e	GET	undefined	/employees
20220905	21:36:19	b1ae92de-7998-4ae8-aea5-058d687e9051	POST	undefined	/auth
20220905	21:36:50	aff6a096-88f6-45dd-b7d6-0328d75de273	POST	undefined	/auth
20220905	21:38:59	e861d872-bc82-4800-a5b5-4a5b4b55a50b	POST	undefined	/auth
20220906	00:03:57	24e1e607-428c-4369-98c9-6a4de04e5485	GET	undefined	/employees
20220906	00:04:14	7f1cb9ea-5b5b-46c8-b3b4-59dbf85e23b7	POST	undefined	/auth
20220906	00:04:28	178ed6d6-68fc-4d21-855c-08ae1e47f786	POST	undefined	/register
20220906	00:04:36	b1fde713-eb0f-47db-a607-b739283ff884	POST	undefined	/auth
20220906	00:05:24	870b8e35-63b7-43a9-bbb1-9f6530c44e44	POST	undefined	/auth
20220906	00:05:44	102fb2cb-52ce-4758-acad-3166723e4315	POST	undefined	/auth
20220906	00:06:30	12d38e88-9e3d-470e-841b-05bafe545c83	POST	undefined	/auth
20220906	00:06:36	49e7434b-fb3c-4b68-a3bb-bc5e506d8dd4	POST	undefined	/auth
20220906	00:09:07	de630a24-7119-4c7d-a8be-d9f6bc9d7354	POST	undefined	/auth
